  1.838567850643028E-005  8.231378676696594E-009
  3.677135701286056E-005  3.343648293425484E-008
  5.515708108264352E-005  6.959534158227505E-008
  7.354275958907379E-005  1.224431445284555E-007
  9.882308462167269E-005  2.090454972938003E-007
  1.103141166019344E-004  2.442439919801857E-007
  1.286997951083646E-004  3.004576287796507E-007
  1.470855191781476E-004  3.706173785571950E-007
  1.654711976845779E-004  4.485837732115101E-007
  1.838568761910082E-004  4.891337368709886E-007
  2.022425546974384E-004  5.090834883290322E-007
  2.206282332038687E-004  5.458732614047401E-007
  2.390139572736517E-004  5.683605257856365E-007
  2.573996357800820E-004  5.912163668299694E-007
  2.757853142865123E-004  6.347758365572859E-007
  2.941709927929425E-004  7.107817409117574E-007
  3.217495333342643E-004  8.621930646571467E-007
  3.309423953691557E-004  8.851078297585720E-007
  3.493280738755860E-004  8.710843978091989E-007
  3.677137523820163E-004  8.419060924998112E-007
  3.860994308884466E-004  8.362514449265421E-007
  4.044851093948769E-004  8.215070809654703E-007
  4.228708334646599E-004  7.969870057433505E-007
  4.412565119710901E-004  7.825652103192411E-007
  4.596421904775204E-004  7.769361539668219E-007
  4.780278689839507E-004  8.122660364843475E-007
  4.964135474903810E-004  9.022083372587698E-007
  5.147992715601639E-004  1.038306082671897E-006
  5.331849500665942E-004  1.164217588766528E-006
  5.515706285730245E-004  1.188236671252242E-006
  5.699563070794548E-004  1.089919752830888E-006
  5.883419855858850E-004  9.632446831147824E-007
  6.067277096556679E-004  9.217454426164123E-007
  6.251133881620982E-004  9.601501375294102E-007
  6.434990666685285E-004  1.006003200090237E-006
  6.618847451749588E-004  1.029055841017661E-006
  6.802704236813891E-004  9.989690088084840E-007
  6.986561477511721E-004  1.050832871392805E-006
  7.170418262576023E-004  1.198774929263095E-006
  7.354275047640326E-004  1.338173877646366E-006
  7.538131832704629E-004  1.474539460837100E-006
  7.721988617768932E-004  1.769230085315502E-006
  7.905845858466762E-004  2.037333643203385E-006
  8.089702643531065E-004  2.027410077640353E-006
  8.273559428595368E-004  2.205642736502624E-006
  8.457416213659669E-004  2.429114193479024E-006
  8.641272998723972E-004  2.556650195638388E-006
  8.825130239421802E-004  2.705555759749703E-006
  9.008987024486105E-004  2.548410152236411E-006
  9.192843809550408E-004  2.131830910767133E-006
  9.376700594614711E-004  1.576851305133480E-006
  9.560557379679013E-004  1.469768893790891E-006
  9.744414620376843E-004  1.354208255926136E-006
  9.928271405441147E-004  1.233206963659062E-006
  1.011212819050545E-003  1.310929569113488E-006
  1.029598497556975E-003  1.410184823777598E-006
  1.047984176063405E-003  1.705095706282701E-006
  1.066369900133188E-003  2.276027153453177E-006
  1.084755578639619E-003  2.547420323740606E-006
  1.103141257146049E-003  2.362593112478928E-006
  1.121526935652479E-003  1.916615749850334E-006
  1.139912614158910E-003  1.575594102143112E-006
  1.158298338228692E-003  1.613866686876895E-006
  1.176684016735123E-003  1.969147552717214E-006
  1.195069695241553E-003  2.044903850193846E-006
  1.213455373747983E-003  1.964547751395612E-006
  1.231841052254414E-003  1.631499723599170E-006
  1.250226776324196E-003  1.585271596305636E-006
  1.268612454830627E-003  2.147115588757084E-006
  1.286998133337057E-003  2.859605836225383E-006
  1.305383811843487E-003  2.918053826020764E-006
  1.323769490349918E-003  2.514672757433337E-006
  1.342155214419701E-003  1.914492701966212E-006
  1.360540892926131E-003  1.144376869853701E-006
